Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20141121;2014-11-21;Metz;Paris SG;2;3;A;7.5;4.2;1.44
F1;20141122;2014-11-22;Bastia;Lyon;0;0;D;3.6;3.3;2.05
F1;20141122;2014-11-22;Guingamp;Rennes;0;1;A;2.5;3.1;2.9
F1;20141122;2014-11-22;Lorient;Lens;1;0;H;1.8;3.3;4.75
F1;20141122;2014-11-22;Monaco;Caen;2;2;D;1.62;3.6;6
F1;20141122;2014-11-22;Nice;Reims;0;0;D;1.91;3.4;4
F1;20141123;2014-11-23;Marseille;Bordeaux;3;1;H;1.62;3.6;6
F1;20141123;2014-11-23;Montpellier;Toulouse;2;0;H;2.5;3.1;2.9
F1;20141123;2014-11-23;Nantes;St Etienne;0;0;D;2.7;3.1;2.7
F1;20141128;2014-11-28;Marseille;Nantes;2;0;H;1.53;3.75;7.5
F1;20141129;2014-11-29;Caen;Montpellier;1;1;D;2.3;3.1;3.4
F1;20141129;2014-11-29;Lens;Metz;2;0;H;2.6;3.1;2.9
F1;20141129;2014-11-29;Paris SG;Nice;1;0;H;1.22;6.5;13
F1;20141129;2014-11-29;Reims;Bastia;2;1;H;2.15;3.25;3.6
F1;20141129;2014-11-29;Rennes;Monaco;2;0;H;2.9;3.1;2.6
F1;20141129;2014-11-29;Toulouse;Lorient;2;3;A;1.83;3.5;4.5
F1;20141130;2014-11-30;Bordeaux;Lille;1;0;H;2.25;3.1;3.5
F1;20141130;2014-11-30;Evian Thonon Gaillard;Guingamp;2;0;H;2.2;3.1;3.6
F1;20141130;2014-11-30;St Etienne;Lyon;3;0;H;2.4;3.2;3.1
F1;20141202;2014-12-02;Lorient;Marseille;1;1;D;4.2;3.5;1.91
F1;20141202;2014-12-02;Monaco;Lens;2;0;H;1.4;4.5;9
F1;20141202;2014-12-02;Nantes;Toulouse;1;2;A;2.1;3.1;3.8
F1;20141203;2014-12-03;Bastia;Evian Thonon Gaillard;1;2;A;2.3;3.2;3.25
F1;20141203;2014-12-03;Guingamp;Caen;5;1;H;2.6;3.2;2.8
F1;20141203;2014-12-03;Lille;Paris SG;1;1;D;5.75;3.5;1.7
F1;20141203;2014-12-03;Metz;Bordeaux;0;0;D;2.75;3;2.8
F1;20141203;2014-12-03;Montpellier;St Etienne;0;2;A;3.2;3;2.5
F1;20141203;2014-12-03;Nice;Rennes;1;2;A;2.63;3;2.9
F1;20141204;2014-12-04;Lyon;Reims;2;1;H;1.5;4.2;7
F1;20141205;2014-12-05;Toulouse;Monaco;0;2;A;2.63;3.2;2.8
F1;20141206;2014-12-06;Bordeaux;Lorient;3;2;H;1.85;3.5;4.5
F1;20141206;2014-12-06;Caen;Nice;2;3;A;2;3.3;4
F1;20141206;2014-12-06;Paris SG;Nantes;2;1;H;1.29;5.5;11
F1;20141206;2014-12-06;Rennes;Montpellier;0;4;A;2.05;3.2;4
F1;20141206;2014-12-06;St Etienne;Bastia;1;0;H;1.45;4.2;8
F1;20141207;2014-12-07;Evian Thonon Gaillard;Lyon;2;3;A;3.5;3.3;2.15
F1;20141207;2014-12-07;Lens;Lille;1;1;D;4.2;3.2;2
F1;20141207;2014-12-07;Marseille;Metz;3;1;H;1.4;4.75;8
F1;20141207;2014-12-07;Reims;Guingamp;2;3;A;2.15;3;3.8
F1;20141212;2014-12-12;Lyon;Caen;3;0;H;1.45;4.33;7.5
F1;20141213;2014-12-13;Bastia;Rennes;2;0;H;3;3.2;2.5
F1;20141213;2014-12-13;Lorient;Metz;3;1;H;1.91;3.4;4.33
F1;20141213;2014-12-13;Montpellier;Lens;3;3;D;1.8;3.5;4.75
F1;20141213;2014-12-13;Nantes;Bordeaux;2;1;H;2.2;3.1;3.6
F1;20141213;2014-12-13;Reims;Evian Thonon Gaillard;3;2;H;2.2;3.2;3.5
F1;20141214;2014-12-14;Guingamp;Paris SG;1;0;H;7.5;4.5;1.44
F1;20141214;2014-12-14;Lille;Toulouse;3;0;H;2.05;3.2;4
F1;20141214;2014-12-14;Monaco;Marseille;1;0;H;2.6;3.2;2.8
F1;20141214;2014-12-14;Nice;St Etienne;0;0;D;3.4;3.1;2.3
F1;20141219;2014-12-19;Lens;Nice;2;0;H;2.4;3.2;3.1
F1;20141220;2014-12-20;Caen;Bastia;1;1;D;1.95;3.3;4.33
F1;20141220;2014-12-20;Lorient;Nantes;1;2;A;2.38;3.1;3.3
F1;20141220;2014-12-20;Metz;Monaco;0;1;A;3.75;3.25;2.1
F1;20141220;2014-12-20;Paris SG;Montpellier;0;0;D;1.25;5.75;13
F1;20141220;2014-12-20;Rennes;Reims;1;3;A;1.83;3.4;4.75
F1;20141220;2014-12-20;Toulouse;Guingamp;1;1;D;1.91;3.4;4.33
F1;20141221;2014-12-21;Bordeaux;Lyon;0;5;A;2.6;3.2;2.88
F1;20141221;2014-12-21;Marseille;Lille;2;1;H;1.67;3.8;5.5
F1;20141221;2014-12-21;St Etienne;Evian Thonon Gaillard;3;0;H;1.5;4;7.5
F1;20150107;2015-01-07;Lille;Evian Thonon Gaillard;1;0;H;1.67;3.5;6
F1;20150109;2015-01-09;Montpellier;Marseille;2;1;H;4.33;3.4;1.91
F1;20150110;2015-01-10;Bastia;Paris SG;4;2;H;8;4.75;1.4
F1;20150110;2015-01-10;Evian Thonon Gaillard;Rennes;1;1;D;2.7;3.1;2.8
F1;20150110;2015-01-10;Guingamp;Lens;2;0;H;2;3.3;4
F1;20150110;2015-01-10;Lille;Caen;1;0;H;1.8;3.5;4.75
F1;20150110;2015-01-10;Nice;Lorient;3;1;H;2.3;3.2;3.3
F1;20150110;2015-01-10;Reims;St Etienne;1;2;A;3.75;3.25;2.1
F1;20150111;2015-01-11;Lyon;Toulouse;3;0;H;1.57;4;6
F1;20150111;2015-01-11;Monaco;Bordeaux;0;0;D;1.75;3.5;5
F1;20150111;2015-01-11;Nantes;Metz;0;0;D;1.75;3.6;5
F1;20150116;2015-01-16;Bordeaux;Nice;1;2;A;1.91;3.3;4.5
F1;20150117;2015-01-17;Caen;Reims;4;1;H;2.2;3.3;3.4
F1;20150117;2015-01-17;Lens;Lyon;0;2;A;4.5;3.5;1.85
F1;20150117;2015-01-17;Lorient;Lille;1;0;H;2.75;3;2.88
F1;20150117;2015-01-17;Metz;Montpellier;2;3;A;2.4;3.1;3.2
F1;20150117;2015-01-17;Monaco;Nantes;1;0;H;1.62;3.6;6.5
F1;20150117;2015-01-17;Toulouse;Bastia;1;1;D;1.91;3.3;4.5
F1;20150118;2015-01-18;Marseille;Guingamp;2;1;H;1.44;4.5;7.5
F1;20150118;2015-01-18;Paris SG;Evian Thonon Gaillard;4;2;H;1.18;7;17
F1;20150118;2015-01-18;Rennes;St Etienne;0;0;D;3;3;2.6
F1;20150123;2015-01-23;Nice;Marseille;2;1;H;3.5;3.3;2.15
F1;20150124;2015-01-24;Bastia;Bordeaux;0;0;D;2.5;3.1;3.1
F1;20150124;2015-01-24;Guingamp;Lorient;3;2;H;2.25;3.2;3.4
F1;20150124;2015-01-24;Lille;Monaco;0;1;A;2.8;3.1;2.7
F1;20150124;2015-01-24;Montpellier;Nantes;4;0;H;2.3;3.1;3.4
F1;20150125;2015-01-25;Evian Thonon Gaillard;Toulouse;1;0;H;2.5;3.2;2.9
F1;20150125;2015-01-25;Lyon;Metz;2;0;H;1.36;4.75;9
F1;20150125;2015-01-25;Reims;Lens;0;0;D;2.3;3.2;3.3
F1;20150125;2015-01-25;Rennes;Caen;1;4;A;2;3.3;4
F1;20150125;2015-01-25;St Etienne;Paris SG;0;1;A;3.6;3.4;2.1
F1;20150130;2015-01-30;Paris SG;Rennes;1;0;H;1.22;6;15
F1;20150131;2015-01-31;Lens;Bastia;1;1;D;2.1;3.2;3.8
F1;20150131;2015-01-31;Lorient;Montpellier;0;0;D;2.38;3.2;3.2
F1;20150131;2015-01-31;Marseille;Evian Thonon Gaillard;1;0;H;1.33;5;10
F1;20150131;2015-01-31;Metz;Nice;0;0;D;2.6;3;3
F1;20150131;2015-01-31;Nantes;Lille;1;1;D;2.4;3;3.3
F1;20150131;2015-01-31;Toulouse;Reims;1;0;H;1.83;3.5;4.5
F1;20150201;2015-02-01;Bordeaux;Guingamp;1;1;D;1.95;3.3;4.2
F1;20150201;2015-02-01;Caen;St Etienne;1;0;H;3.5;3.1;2.25
F1;20150201;2015-02-01;Monaco;Lyon;0;0;D;2.1;3.2;3.8
F1;20150206;2015-02-06;St Etienne;Lens;3;3;D;1.57;3.75;7
F1;20150207;2015-02-07;Bastia;Metz;2;0;H;2.2;3.1;3.6
F1;20150207;2015-02-07;Caen;Toulouse;2;0;H;2.25;3.2;3.4
F1;20150207;2015-02-07;Evian Thonon Gaillard;Bordeaux;0;1;A;2.9;3.1;2.6
F1;20150207;2015-02-07;Montpellier;Lille;1;2;A;2.2;3.2;3.6
F1;20150207;2015-02-07;Reims;Lorient;1;3;A;2.5;3.2;3
F1;20150207;2015-02-07;Rennes;Marseille;1;1;D;3.3;3.2;2.3
F1;20150208;2015-02-08;Guingamp;Monaco;1;0;H;3.5;3.1;2.25
F1;20150208;2015-02-08;Lyon;Paris SG;1;1;D;3.4;3.3;2.2
F1;20150208;2015-02-08;Nice;Nantes;0;0;D;2.2;3.1;3.7
F1;20150213;2015-02-13;Marseille;Reims;2;2;D;1.33;5;9.5
F1;20150214;2015-02-14;Lens;Evian Thonon Gaillard;0;2;A;1.95;3.4;4.2
F1;20150214;2015-02-14;Lille;Nice;0;0;D;2;3.2;4.2
F1;20150214;2015-02-14;Nantes;Bastia;0;2;A;1.91;3.3;4.5
F1;20150214;2015-02-14;Paris SG;Caen;2;2;D;1.25;6;12
F1;20150214;2015-02-14;Toulouse;Rennes;2;1;H;2.25;3.2;3.4
F1;20150215;2015-02-15;Bordeaux;St Etienne;1;0;H;2.6;3.1;2.9
F1;20150215;2015-02-15;Lorient;Lyon;1;1;D;3.25;3.25;2.3
F1;20150215;2015-02-15;Metz;Guingamp;0;2;A;2.6;3.1;2.9
F1;20150220;2015-02-20;Nice;Monaco;0;1;A;3.2;3;2.38
