DateListe,Saison,Equipe,TRJmoy,ROI,Nbrdematchs,MoyCoteResultat,ROI-10J,ROI-5J,ROI-3J,ROI-2J,ROIJJ-1,ROIJ,CoteJ,CoteInvJ
20230924,2324,Toulouse,95.305188749577,0.4583333333333333,6,3.966666666666667,0.0,0.5500001999999999,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,5.0,1.1887884267631101
20230917,2324,Toulouse,95.15748409650034,0.55,5,3.7600000000000002,0.0,0.0,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,6.0,1.1400000000000001
20230903,2324,Toulouse,94.99727528869265,0.6875,4,3.2,0.0,0.0,0.9166669999999999,5.000000000165983e-07,5.000000000165983e-07,0.0,2.0,1.8367346938775508
20230827,2324,Toulouse,94.74814010123559,0.9166666666666666,3,3.6,0.0,0.0,0.0,1.3750004999999998,5.000000000165983e-07,0.0,3.3,1.331858407079646
20230819,2324,Toulouse,94.67761710638148,1.375,2,3.75,0.0,0.0,0.0,0.0,1.3750004999999998,0.0,4.75,1.1846153846153846
20230813,2324,Toulouse,94.53993933265926,2.75,1,2.75,0.0,0.0,0.0,0.0,0.0,2.75,2.75,1.440677966101695
20240519,2324,Strasbourg,94.74538186754444,0.8038235294117647,34,3.8667647058823538,1.1150001,0.9500002,0.7333336666666668,1.1000005,1.1000005,0.0,7.5,1.0931928687196109
20240512,2324,Strasbourg,94.72517802600791,0.8281818181818181,33,3.7566666666666673,0.8950001,0.5100001999999999,3.3333333324965984e-07,5.000000000165983e-07,1.1000005,2.2,2.2,1.6656716417910447
20240504,2324,Strasbourg,94.72298462696546,0.7853125,32,3.8053125000000003,0.8950001,1.1300002,0.8500003333333332,5.000000000165983e-07,5.000000000165983e-07,0.0,3.1,1.3648745519713261
20240428,2324,Strasbourg,94.72164898590371,0.8106451612903226,31,3.828064516129032,0.8950001,1.7900002,0.8500003333333332,1.2750005,5.000000000165983e-07,0.0,3.0,1.3827464788732393
20240421,2324,Strasbourg,94.72406018251746,0.8376666666666667,30,3.855666666666666,0.8950001,1.7900002,1.8833336666666667,1.2750005,1.2750005,0.0,5.75,1.1428571428571428
20240413,2324,Strasbourg,94.70293165209507,0.866551724137931,29,3.7903448275862064,0.6400001,1.2800002,2.1333336666666667,1.5500005,1.2750005,2.55,2.55,1.5041322314049586
20240407,2324,Strasbourg,94.70631874835257,0.8064285714285714,28,3.834642857142857,0.6400001,1.2800002,2.1333336666666667,3.2000005,1.5500005,0.0,3.5,1.3061946902654866
20240331,2324,Strasbourg,94.69097485235295,0.8362962962962963,27,3.847037037037037,0.7300000999999999,0.6600001999999999,1.1000003333333332,1.6500005,3.2000005,3.1,3.1,1.3695652173913044
20240316,2324,Strasbourg,94.67946340923034,0.7492307692307693,26,3.8757692307692304,0.6880001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.6500005,3.3,3.3,1.3295454545454546
20240310,2324,Strasbourg,94.67577302071,0.6472,25,3.8988,0.9030001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.6,1.282894736842105
20240303,2324,Strasbourg,94.67961063949936,0.6741666666666667,24,3.9112500000000003,0.9030001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.75,1.2727272727272727
20240224,2324,Strasbourg,94.66469699624328,0.7034782608695652,23,3.918260869565217,0.9030001,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.1,1.3684684684684685
20240218,2324,Strasbourg,94.65229685970888,0.7354545454545455,22,3.955454545454545,0.9030001,0.8000001999999999,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,1.7,2.159090909090909
20240210,2324,Strasbourg,94.63041116975951,0.7704761904761904,21,4.062857142857142,0.9030001,1.3760002,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,5.75,1.1357933579335793
20240202,2324,Strasbourg,94.61969545376395,0.809,20,3.9784999999999995,0.9030001,1.8060002,1.3333336666666666,5.000000000165983e-07,5.000000000165983e-07,0.0,6.0,1.125
20240128,2324,Strasbourg,94.61352984052715,0.8515789473684211,19,3.8721052631578945,0.9030001,1.8060002,2.2933336666666664,2.0000005,5.000000000165983e-07,0.0,2.63,1.4789915966386555
20240112,2324,Strasbourg,94.61070959094612,0.8988888888888888,18,3.941111111111111,0.9030001,1.8060002,3.010000333333333,3.4400005,2.0000005,0.0,5.5,1.1428571428571428
20231220,2324,Strasbourg,94.60994804253245,0.951764705882353,17,3.849411764705882,0.5030001,1.0060002,1.676667,2.5150004999999998,3.4400005,4.0,4.0,1.2392523364485981
20231217,2324,Strasbourg,94.6097626243024,0.76125,16,3.84,0.46000009999999997,0.43000019999999994,0.7166669999999999,1.0750004999999998,2.5150004999999998,2.88,2.88,1.4191304347826086
20231210,2324,Strasbourg,94.57921605491933,0.62,15,3.9039999999999995,0.24500009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,1.0750004999999998,2.15,2.15,1.7266187050359714
20231207,2324,Strasbourg,94.49491093040726,0.5107142857142857,14,4.029285714285714,0.24500009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.33,1.2132596685082873
20231201,2324,Strasbourg,94.47365701240079,0.55,13,4.006153846153846,0.46000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,4.75,1.1838503649635035
20231125,2324,Strasbourg,94.44927178880515,0.5958333333333333,12,3.9441666666666664,0.46000009999999997,1.999999999497959e-07,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,3.8,1.247912885662432
20231105,2324,Strasbourg,94.4954618877541,0.65,11,3.9572727272727275,0.7150001,0.49000020000000005,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,2.38,1.5746031746031748
20231029,2324,Strasbourg,94.46856912654155,0.715,10,4.115,0.0,0.49000020000000005,3.3333333324965984e-07,5.000000000165983e-07,5.000000000165983e-07,0.0,6.0,1.1274685816876122
20231021,2324,Strasbourg,94.41931694160927,0.7944444444444444,9,3.9055555555555554,0.0,0.49000020000000005,0.8166670000000001,5.000000000165983e-07,5.000000000165983e-07,0.0,12.0,1.02720207253886
20231006,2324,Strasbourg,94.39414878114596,0.89375,8,2.89375,0.0,0.9200002,0.8166670000000001,1.2250005000000002,5.000000000165983e-07,0.0,2.2,1.6616541353383456
