Div;DateInt;DateStr;HomeTeam;AwayTeam;FTHG;FTAG;FTR;B365H;B365D;B365A
F1;20240308;2024-03-08;Nice;Montpellier;1;2;A;1.75;3.6;4.5
F1;20240309;2024-03-09;Lorient;Lyon;0;2;A;3.3;3.4;2.2
F1;20240309;2024-03-09;Lens;Brest;1;0;H;2.05;3.3;3.8
F1;20240310;2024-03-10;Paris SG;Reims;2;2;D;1.4;5;7
F1;20240310;2024-03-10;Le Havre;Toulouse;1;0;H;2.8;3.1;2.63
F1;20240310;2024-03-10;Metz;Clermont;1;0;H;2.25;3.3;3.25
F1;20240310;2024-03-10;Strasbourg;Monaco;0;1;A;3.6;3.75;1.95
F1;20240310;2024-03-10;Lille;Rennes;2;2;D;2.05;3.4;3.6
F1;20240310;2024-03-10;Marseille;Nantes;2;0;H;1.5;4.2;7
F1;20240315;2024-03-15;Toulouse;Lyon;2;3;A;2.88;3.2;2.6
F1;20240316;2024-03-16;Nantes;Strasbourg;1;3;A;2.25;3.25;3.3
F1;20240316;2024-03-16;Lens;Nice;1;3;A;2;3.4;4
F1;20240317;2024-03-17;Brest;Lille;1;1;D;2.5;3.1;3
F1;20240317;2024-03-17;Clermont;Le Havre;2;1;H;2.6;3.25;2.8
F1;20240317;2024-03-17;Monaco;Lorient;2;2;D;1.36;5;9
F1;20240317;2024-03-17;Reims;Metz;2;1;H;1.57;4;6
F1;20240317;2024-03-17;Rennes;Marseille;2;0;H;2.5;3.3;2.88
F1;20240317;2024-03-17;Montpellier;Paris SG;2;6;A;6;4.5;1.5
F1;20240329;2024-03-29;Lille;Lens;2;1;H;2.05;3.3;3.8
F1;20240330;2024-03-30;Metz;Monaco;2;5;A;5.25;4.2;1.62
F1;20240330;2024-03-30;Lyon;Reims;1;1;D;2.05;3.6;3.5
F1;20240331;2024-03-31;Lorient;Brest;0;1;A;4.2;3.3;1.95
F1;20240331;2024-03-31;Clermont;Toulouse;0;3;A;3.1;3.4;2.3
F1;20240331;2024-03-31;Le Havre;Montpellier;0;2;A;2.55;3.3;2.8
F1;20240331;2024-03-31;Nice;Nantes;1;2;A;1.75;3.5;5.25
F1;20240331;2024-03-31;Strasbourg;Rennes;2;0;H;3.1;3.5;2.25
F1;20240331;2024-03-31;Marseille;Paris SG;0;2;A;3.25;3.8;2.05
F1;20240405;2024-04-05;Lille;Marseille;3;1;H;2;3.4;3.75
F1;20240406;2024-04-06;Lens;Le Havre;1;1;D;1.53;4;7
F1;20240406;2024-04-06;Paris SG;Clermont;1;1;D;1.18;8;12
F1;20240407;2024-04-07;Brest;Metz;4;3;H;1.53;4;7.5
F1;20240407;2024-04-07;Montpellier;Lorient;2;0;H;1.75;3.8;4.5
F1;20240407;2024-04-07;Reims;Nice;0;0;D;2.5;3.2;2.9
F1;20240407;2024-04-07;Toulouse;Strasbourg;0;0;D;2.05;3.6;3.5
F1;20240407;2024-04-07;Monaco;Rennes;1;0;H;1.8;4;4
F1;20240407;2024-04-07;Nantes;Lyon;1;3;A;3.3;3.25;2.25
F1;20240412;2024-04-12;Metz;Lens;2;1;H;5;3.75;1.7
F1;20240413;2024-04-13;Strasbourg;Reims;3;1;H;2.55;3.25;2.8
F1;20240413;2024-04-13;Rennes;Toulouse;1;2;A;1.8;3.6;4.33
F1;20240414;2024-04-14;Le Havre;Nantes;0;1;A;2.6;3;3
F1;20240414;2024-04-14;Clermont;Montpellier;1;1;D;3.3;3.5;2.15
